Idade;Total;Freq;NFreq;NuncaFreq
  0 a   3 anos;10938913,9;2575953,975;199714,6654;8163245,261
  4 anos;2867819,062;2085264,278;70905,12607;711649,6585
  5 anos;2933763,642;2561746,909;56129,76069;315886,9727
  6 anos;2891614,008;2746434,993;35659,78845;109519,2264
  7 a   9 anos;9142389,834;8926314,673;95114,27429;120960,8866
10 a 14 anos ;17167135,02;16562084,49;463936,983;141113,552
15 a 19 anos;16986787,61;11610342,06;5204763,193;171682,3579
20 a 24 anos;17240863,8;4331498,294;12632245,3;277120,2072
25 a 29 anos;17102917,44;2446914,55;14291950,74;364052,1527
30 a 39 anos;29632807,01;2794523,935;25828694,7;1009588,373
40 a 49 anos;24843142,76;1530247,884;21967730,62;1345164,261
50 a 59 anos;18418754,61;800176,2227;16022366,31;1596212,082
60 anos ou mais;20588890,3;593686,1175;15595949,69;4399254,496
